Name,Latitude,Longitude,Description,Type
Unnamed Bicycle Parking,1.3922622,103.8925986,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3934566,103.892189,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3928668,103.8907111,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3945789,103.8782418,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3932907,103.8766933,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3932543,103.8762635,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3334794,103.8474671,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3315021,103.850084,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Bras Basah complex,1.2964933,103.8534869,"Capacity: 15, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3108932,103.777196,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3723515,103.949089,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3135216,103.8633339,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.2486652,103.8225562,"Capacity: 4, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.4346223,103.8235872,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3369869,103.9822497,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4119042,103.8978304,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3520031,103.9396429,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3038709,103.8669046,"Capacity: 4, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3861737,103.7436173,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2970557,103.7701036,"Capacity: 10, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.33665,103.88904,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.4161367,103.9017005,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4165816,103.9014466,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4160812,103.9018616,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4167957,103.9015515,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3941837,103.8870979,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3935195,103.8846028,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3212207,103.7785301,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3257497,103.9301136,"Capacity: 20, Covered: Unknown",Bicycle Parking
