Name,Latitude,Longitude,Description,Type
Ranger Station,1.3570652,103.8127065,Postal Code:: 9R47+R4 Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.3570652<br>Longitude:: 103.8127065,Verified
Ngee Ann Polytechnic: Block 58,1.333149,103.774893,Postal Code:: 8QMF+7X2 Singapore<br>Level:: 1<br>Description:: Block 58<br>Temperature of water:: Room Temperature<br>Operator:: NP<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.333149<br>Longitude:: 103.774893,Verified
Sentosa: Palawan Beach Walk Toilet,,,"Postal Code:: 098236<br>Level:: 1<br>Description:: Outside toilet, near bus stop for Beach Shuttle. West direction from HydroDash<br>Temperature of water:: Cold, Room Temperature<br>Operator:: Sentosa<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Changi Simei Community Club,,,"Postal Code:: 529915<br>Level:: 1<br>Description:: Next to toilet<br>Temperature of water:: Cold, Hot, Room Temperature<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Sri Lankaramaya Buddhist Temple,,,Postal Code:: 8VG7+P6 Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: Sri Lankaramaya Buddhist Temple<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Lim Chu Kang Muslim Cemetery Carpark A,1.37197128,103.6939558,Postal Code:: 9MCV+QHP Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.37197128<br>Longitude:: 103.6939558,Verified
Garden Of Peace Carpark C,1.371939659,103.6894824,Postal Code:: 9MCQ+QQH Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.371939659<br>Longitude:: 103.6894824,Verified
Punggol Waterway Park,1.411368554,103.90398054110399,Postal Code:: CW63+GH Singapore<br>Level:: 1<br>Description:: Outside public toilets (In front of the Adventure Bridge)<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.411368554<br>Longitude:: 103.90398054110399,Verified
Eunos Crescent Market and Food Centre,,,Postal Code:: 402004<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
CapitaSpring: Market Street Hawker Centre,,,"Postal Code:: 7VM2+M3 Singapore<br>Level:: 2, 3<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: CapitaSpring<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Teck Ghee Community Club,,,"Postal Code:: 569734<br>Level:: 1, 2<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Senja-Cashew Community Club,,,Postal Code:: 679910<br>Level:: 2<br>Description:: Outside ActiveSG gym<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Chua Chu Kang Community Club,,,"Postal Code:: 688892<br>Level:: 1<br>Description:: 1 near basketball court, 1 near McDonalds<br>Temperature of water:: Cold, Room Temperature<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bukit Gombak Sports Hall,,,Postal Code:: 659088<br>Level:: 1<br>Description:: Near Gym<br>Temperature of water:: Cold<br>Operator:: SportSG<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
80 Circuit Rd Market and Food Centre,,,"Postal Code:: 370080<br>Level:: 2<br>Description:: In between Yong Tau Foo and Fried Bee hoon stall beside sink<br>Temperature of water:: Cold, Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bukit Timah Community Club,,,"Postal Code:: 596569<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold, Hot, Room Temperature<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
The Air Force Museum,,,Postal Code:: 534234<br>Level:: 1<br>Description:: Near toilets<br>Temperature of water:: Cold<br>Operator:: Ministry of Defence<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Whampoa Community Club,,,"Postal Code:: 327737<br>Level:: 1<br>Description:: Near playground<br>Temperature of water:: Cold, Hot, Room Temperature<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bukit Gombak ActiveSG Stadium,,,Postal Code:: 659081<br>Level:: 1<br>Description:: Near entrance/toilet<br>Temperature of water:: Unsure<br>Operator:: SportSG<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Kampong Kembangan Community Club,,,Postal Code:: 417408<br>Level:: 1<br>Description:: Near koi pond<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Eunos Bus Interchange,,,Postal Code:: 409388<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
i12 Katong,,,"Postal Code:: 428802<br>Level:: B1, 1, 2, 3<br>Description:: Outside public toilets<br>Temperature of water:: Cold, Hot<br>Operator:: i12 Katong<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Compass One,,,"Postal Code:: 545078<br>Level:: 1<br>Description:: In the pantry near toilet<br>Temperature of water:: Cold, Hot<br>Operator:: Compass One<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bedok Community Club,,,Postal Code:: 467352<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Tampines Bus Interchange,,,Postal Code:: 9W3V+F6 Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Pasir Ris Bus Interchange,,,Postal Code:: 519490<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: Go-Ahead Singapore<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Masjid Al-Istighfar,,,"Postal Code:: 518239<br>Level:: 1<br>Description:: Outside on public pavement, near main entrance<br>Temperature of water:: Unsure<br>Operator:: Masjid Al-Istighfar<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
